Carbon_bomb,Country
ACG (Azeri-Chirag-Guneshli Deep Water),Azerbaijan
Abqaiq,Saudi Arabia
Afşin-Elbistan Coal Mine,Türkiye
Agha Jari,Iran
Ahwaz Asmari,Iran
Ahwaz Bangestan,Iran
Al Khaleej Gas project,Qatar
Alpha North Coal Mine,Australia
Anadarko Shelf_Oklahoma,United States
Angren Coal Mine,Uzbekistan
Anjialing Open-Pit Mine,China
Antaibao Surface Mine,China
Arctic LNG 2 T1-3,Russia
Area 1 LNG (T1&T2),Mozambique
Area-1 Future Phases,Mozambique
Arshanovsky Coal Mine,Russia
Asab,United Arab Emirates
Athabasca Oil Sands Project,Canada
Austin Chalk Tight,United States
Azadegan,Iran
BIB Coal Mine,Indonesia
Ba Leng Coal Mine,China
Bab,United Arab Emirates
Bab (Gasco),United Arab Emirates
Baghdad East,Iraq
Baijia Haizi Coal Mine,China
Baishihu Surface Mine,China
Baiyanghe Coal Mine,China
Baiyinhua No.3 Surface Mine,China
Bakken Shale,United States
Balaram Coal Mine,India
Balasu Coal Mine,China
Baltimore Canyon Offshore,United States
Banhardih,India
Bankui,India
Baode Coal Mine,China
Barail Shale,India
Barnett Shale,United States
Barzan,Qatar
Basrah Gas project,Iraq
Beaufort Sea Offshore,United States
Beisky-Zapadniy Coal Mine,Russia
Bernice-Cygnus Coal Mine,South Africa
Berri,Saudi Arabia
Black Thunder Coal Mine,United States
Blackwater Coal Mine,Australia
Bogatyr Coal Mine,Kazakhstan
Boikarabelo Coal Mine,South Africa
Boli Coal Mine,China
Borly Coal Mines,Kazakhstan
Bovanenkovo Zone (Yamal Megaproject),Russia
Bowland Shale,United Kingdom
Bu Hasa,United Arab Emirates
Buertai Coal Mine,China
Buliangou Coal Mine,China
Buzios (x-Franco),Brazil
Byerwen Coal Mine,Australia
Cambrian/Silurian Marine Shale,China
Campos Offshore,Brazil
Candeias Shale,Brazil
Carboniferous Shale,Kazakhstan
Carmichael Coal Project,Australia
Central Arabian Offshore,Bahrain
Central Arabian Offshore,Iran
Central Arabian Offshore,Saudi Arabia
Central Arabian Onshore,Iraq
Central Arabian Onshore,Kuwait
Central Arabian Onshore,Qatar
Central Arabian Onshore,Saudi Arabia
Central Uplift Onshore Xinjiang Uygur Autonomous Region,China
Cerrejón Coal Mine,Colombia
Chagannur No.1 Coal Mine,China
Chahasu Coal Mine,China
Changcheng No.3 Coal Mine,China
Changqing,China
Chirodzi Coal Mine,Mozambique
Christina Lake,Canada
Chukchi Sea Offshore,United States
Collingham Shale,South Africa
Cumberland Coal Mine,United States
DJ Basin Tight Oil,United States
Dafosi Coal Mine,China
Dahaize Coal Mine,China
Dalaihushuo Coal Mine,China
Daliuta Coal Mine,China
Dananhu No. 7 Coal Mine,China
Dananhu No.1 Coal Mine,China
Dananhu West No.2 Coal Mine,China
Daqing,China
Dingji Coal Mine,China
Dipka Coal Mine,India
Dolphin,Qatar
Dongzhouyao Coal Mine,China
Dovletabad-Donmez,Turkmenistan
Duvernay,Canada
Eagle Ford Shale,Mexico
Eagle Ford Shale,United States
East Natuna (x-Natuna D-Alpha),Indonesia
Eastern Gas Program,Russia
El Descanso Coal Mine,Colombia
El Sharara,Libya
Elegest Coal Mine,Russia
Elga Coal Mine,Russia
Ensham Coal Mine,Australia
Erkovetskiy Coal Mine,Russia
Fengjiata Coal Mine,China
Fording River,Canada
GAM Coal Mine,Indonesia
Gachsaran,Iran
Galilee Coal Mine,Australia
Gaohe Coal Mine,China
Gaojiabao Coal Mine,China
Gaojialiang No.1 Coal Mine,China
Gaotouyao Coal Mine,China
Gare Pelma Sector II,India
Garzweiler Coal Mine,Germany
Gazprom dobycha Nadym,Russia
Gazprom dobycha Orenburg,Russia
Gazprom dobycha Yamburg,Russia
Gething Coal Mine,Canada
Gevra Coal Mine,India
Ghawar Ain Dar N,Saudi Arabia
Ghawar Ain Dar S,Saudi Arabia
Ghawar Haradh,Saudi Arabia
Ghawar Hawiyah,Saudi Arabia
Ghawar Shedgum,Saudi Arabia
Ghawar Uthmaniyah,Saudi Arabia
Goldwyer Shale,Australia
Goonyella-Riverside Coal Mine,Australia
Gorgon LNG T1-T3,Australia
Greater Burgan,Kuwait
Greater Liza (Liza),Guyana
Greater Soutpansberg Coal Project,South Africa
Greater Turbot (Stabroek),Guyana
Grootegeluk Coal Mine,South Africa
Gulf Coast Centre Offshore,United States
Gulf Deepwater Offshore,Mexico
Guojiatan Coal Mine,China
Guojiawan Coal Mine,China
Guqiao Coal Mine,China
Haerwusu Surface Mine,China
Halagou Coal Mine,China
Halfayah,Iraq
Hambach Coal Mine,Germany
Hamilton County Mine No.1,United States
Hanglaiwan Coal Mine,China
Harmaliyah,Saudi Arabia
Hassi Messaoud,Algeria
Hassi R'Mel (Domestic),Algeria
Haynesville/Bossier Shale,United States
Hetaoyu Coal Mine,China
Hongliulin Coal Mine,China
Hongqinghe Coal Mine,China
Hongqingliang Coal Mine,China
Hongshaquan No.1 Coal Mine,China
Hongshuliang Coal Mine,China
Horizon Oil Sands Project,Canada
Huangling No.2 Coal Mine,China
Huangyuchuan Coal Mine,China
Hulusu Coal Mine,China
Hunter Valley North Coal Mine,Australia
Hunter Valley South Coal Mine,Australia
Huojitu Well Of Daliuta Coal Mine,China
Hutton Coal Mine,Australia
Inaglinskaya-2 Mine,Russia
Indexim Coalindo Coal Mine,Indonesia
Inner Mongolia Erlintu Coal Mine,China
"Integrated Belpahar, Lakhanpur, Lilari Coal Mine",India
Irati Shale,Brazil
Jiangjun Gebi No.2 Coal Mine,China
Jinjie Coal Mine,China
Jinjitan Coal Mine,China
Johan Sverdrup,Norway
KPC Operation Coal Mine,Indonesia
Kaniha Coal Mine,India
Karachaganak,Kazakhstan
Kashagan,Kazakhstan
Kearl,Canada
Kerandari BC,India
Khafji,Kuwait
Khurais project,Saudi Arabia
Khursaniyah,Saudi Arabia
Kish Gas Project,Iran
Kolubara Mine Complex,Serbia
Kouzi East Coal Mine,China
Kronprins Christian Offshore,Denmark
Ku-Maloob-Zaap Project,Mexico
Kusmunda Coal Mine,India
Kuznetsk Depression (Kuzbass) CBM,Russia
La Luna Shale,Colombia
La Luna Shale,Venezuela
Lakhanpur Coal Mine,India
Leningradskoye (Kara Sea),Russia
Lensky Basin CBM,Russia
Leviathan,Israel
Liard Shale,Canada
Libra,Brazil
Lijiahao Coal Mine,China
Listvianskaya Coal Mine,Russia
Liuzhuang Coal Mine,China
Llandovery Shale,Brazil
Longmaxi Shale,China
Longmaxi Shale (Sichuan/Changyu),China
Longwan Coal Mine,China
Longwanggou Coal Mine,China
Lower Zakum,United Arab Emirates
Loy Yang Coal Mine,Australia
Lublin Basin Silurian Shale,Poland
Lula (X-Tupi),Brazil
MC #1 Coal Mine,United States
MHU Coal Mine,Indonesia
MZLNG Joint Development (T1-T2),Mozambique
Madaotou Coal Mine,China
Majialiang Coal Mine,China
Majnoon,Iraq
Mandakini B,India
Manifa (redevelop),Saudi Arabia
Mansouri Bangestan,Iran
Marcellus Shale,United States
Maritsa Coal Mines,Bulgaria
Marjan,Saudi Arabia
Marun,Iran
Meihuajing Coal Mine,China
Mengcun Coal Mine,China
Menilite Shale,Ukraine
Menkeqing Coal Mine,China
Meramec Shale,United States
Mero (Libra NW),Brazil
Moher Amlohri Coal Mine,India
Montney Play,Canada
Mount Pleasant Coal Mine,Australia
Muduchaideng Coal Mine,China
Murray River Coal Mine,Canada
NLNG Base Project,Nigeria
Nahr bin Umar,Iraq
Nalin River No.2 Coal Mine,China
New Largo Coal Mine,South Africa
Ningtiaota Coal Mine,China
Ningxia Hongliu Coal Mine,China
North Antelope Rochelle Coal Mine,United States
North Field,Qatar
North Field C LNG,Qatar
North Field E,Qatar
North Kara Sea Offshore,Russia
North Slope Onshore,United States
Oil shale China,China
Olive Downs Coal Mine,Australia
Orinoco Joint Ventures,Venezuela
PRB Tight Oil,United States
PTBA Coal Mines,Indonesia
Paardekop Coal Mine,South Africa
Pakar North Coal Mine,Indonesia
Pangpangta Coal Mine,China
Parnaiba Onshore,Brazil
Pars Southwest,Iran
Pasir Coal Mine,Indonesia
Pazanan,Iran
Peak Downs Coal Mine,Australia
Pereyaslovskiy Coal Mine,Russia
Permian Conventional_Texas,United States
Permian Delaware Tight,United States
Permian Midland Tight,United States
Pervomaisky Coal Mine,Russia
Phulbari Coal Mine,Bangladesh
Pingshuo East Coal Mine,China
Pribbenow Coal Mine,Colombia
Project Kuwait,Kuwait
Project Motheo,Botswana
QatarGas 1 LNG T1-T3,Qatar
QatarGas LNG T12-T13 (NFE-South),Qatar
QatarGas LNG T8-T11 (NFE-East),Qatar
Qatargas 2 LNG T4-T5,Qatar
Qatif project,Saudi Arabia
Qingchunta Coal Mine,China
Qinghua No.7 Coal Mine,China
Qingshuiying Coal Mine,China
Qiyuan Coal Mine,China
Qurna West,Iraq
Qurna West-2,Iraq
Rajmahal Coal Mine,India
Rasgas 2 LNG T3-T5,Qatar
Rasgas 3 LNG T6-T7,Qatar
Raspadskaya Coal Mine,Russia
Ratawi,Iraq
Red Hill Coal Project,Australia
Revuboe Coal Mine,Mozambique
Romashkino,Russia
Rumaila North & South,Iraq
Rusanovskoye (Kara Sea),Russia
Saebyol Coal Mining Complex,North Korea
Safaniya,Saudi Arabia
Safaniya YTF Concession,Saudi Arabia
Saharpur Jamarpani,India
Samotlorneftegaz (TNK-BP),Russia
San Juan Coal Mine,Colombia
Sandaogou Coal Mine,China
Sanjiao No.1 Coal Mine,China
Santos Offshore,Brazil
Saraji East Coal Mine,Australia
Sembar Shale,Pakistan
Sengwe Colliery,Zimbabwe
SeverEnergia Project,Russia
Shaanxi Caojiatan Coal Mine,China
Shahaiji No.1 Coal Mine,China
Shajihai No.2 Coal Mine,China
Shangwan Coal Mine,China
Shangyuquan Coal Mine,China
Shanxi Dongda Coal Mine,China
Shanxi Lu'an Gucheng Coal Mine,China
Shaqu No.1 Coal Mine,China
Shaybah,Saudi Arabia
Shengli,China
Shengli East No.2 Coal Mine,China
Shengli No.1 Open-Pit Coal Mine,China
Shenhua Baorixile Surface Coal Mine,China
Shenhua Bulianta Coal Mine,China
Shenhua Heidaigou Surface Coal Mine,China
Shicaocun Coal Mine,China
Shigetai Coal Mine,China
Shilawusu Coal Mine,China
Shitoumei No.1 Coal Mine,China
Shtokman,Russia
Shubarkol Coal Mine,Kazakhstan
Shurapskaya Coal Mine,Russia
Siarmal Coal Mine,India
Sihe Coal Mine,China
Sijiazhuang Coal Mine,China
Sirte Shale,Libya
South Pars (Phases 2-3) dry gas,Iran
South Pars (Phases 20-21),Iran
South Pars (Phases 22-24),Iran
South Pars (Phases 4-5) dry gas,Iran
South Pars (Phases 9-10) dry gas,Iran
Southeast Uplift Onshore Heilongjiang Province,China
"Spirit River (Notikewin, Falher, Wilrich)",Canada
Stepnoy Coal Mine,Russia
Suancigou Coal Mine,China
Sudair Shale,Saudi Arabia
Sugodinsk-Ogodzhinsky Coal Mine,Russia
Syncrude Mildred Lake/Aurora,Canada
Talahao Coal Mine,China
Talaipalli Coal Mine,India
Taldinsky Coal Mine,Russia
Talike District No. 2 Coal Mine,China
Tambey Zone (Yamal Megaproject),Russia
Tanf Shale,Syria
Tannezuft Shale,Algeria
Tanzanian Coastal Offshore,Tanzania
Taohe Coal Mine,China
Taran Gaole Coal Mine,China
Tarim (CNPC),China
Tashan Coal Mine,China
Tavan Tolgoi Coal Mine,Mongolia
Taymyr Basin CBM,Russia
Tengiz,Kazakhstan
Thar Coal Mine,Pakistan
Timan - Pechora Basin Offshore,Russia
Timan - Pechora Basin Onshore,Russia
Tongxin Coal Mine,China
Troll,Norway
Tunguska Basin CBM,Russia
Tutupan Coal Mine,Indonesia
Ulug-Khem Project,Russia
Umm Shaif/Nasr,United Arab Emirates
Upper Zakum,United Arab Emirates
Urengoyskoye,Russia
Usinsk-1 Coal Mine,Russia
Utica Shale,United States
Vaca Muerta Shale,Argentina
Valeria Coal Mine,Australia
Velkerri Shale,Australia
Volga - Urals Onshore,Russia
Wangjialing Coal Mine,China
Wangjiata Coal Mine,China
Wangwa Coal Mine,China
Wards Well Coal Mine,Australia
Weijiamao Open Pit Mine,China
Wenjiazhuang Coal Mine,China
West Florida Offshore,United States
West Macedonia Lignite Centre (WMLC),Greece
West Siberia Offshore,Russia
West Siberia Onshore,Russia
West Well of Faer Second Coal Mine,China
Western Gulf Province_Texas,United States
Wilton and Fairhill Coal Projects,Australia
Woodford Shale,United States
Wucaiwan No.1 Coal Mine,China
Wucaiwan No.1 Surface Mine,China
Wudong Coal Mine,China
Xiaobaodang No.1 Coal Mine,China
Xiaobaodang No.2 Coal Mine,China
Xiaojiawa Coal Mine,China
Xiaojihan Coal Mine,China
Xiaozhuang Coal Mine,China
Xinjiang (CNPC),China
Xinjiang Hongshan Coal Mine,China
Xinwen Ili No.1 Coal Mine,China
Xinzhuang Coal Mine,China
Xiwan Surface Coal Mine,China
Yadian Coal Mine,China
Yallourn,Australia
Yangchangwan No.1 Well Coal Mine,China
Yangjiacun Coal Mine,China
Yangquan No.1 Coal Mine,China
Yashlar Vostochnyy (East),Turkmenistan
Yili No.4 Coal Mine,China
Yimin Surface Coal Mine,China
Yingpanhao Coal Mine,China
Yolotan (Iolotan) South,Turkmenistan
Youngs Creek Coal Mine,United States
Yucatan Platform Offshore,Mexico
Yuganskneftegaz,Russia
Yushuwan Coal Mine,China
Yuwang No.1 Coal Mine,China
Zambezi Coal Mine,Mozambique
Zaoquan Coal Mine,China
Zhangji Coal Mine,China
Zhangjiamao Coal Mine,China
Zhaoshipan Coal Mine,China
Zhong Yu Coal Mine,China
Zhundong Surface Mine,China
Zubair,Iraq
Zuluf,Saudi Arabia
Zuluf (CR in field),Saudi Arabia
Zuluf (expansion),Saudi Arabia
